# type (r[1-9];w;u),class,name,comment,QQ,ZZ,PBSB,ID,field,part (m/s),type / templates,divider / values,unit,comment,field,part (m/s),type / templates,divider / values,unit,comment,field,part (m/s),type / templates,divider / values,unit,comment,field,part (m/s),type / templates,divider / values,unit,comment,field,part (m/s),type / templates,divider / values,unit,comment,field,part (m/s),type / templates,divider / values,unit,comment,field,part (m/s),type / templates,divider / values,unit,comment

# Broadcasted messages
u,ariston,z6_day_temp,Z6 Day Temperature,,fe,200f,6276,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,ariston,z6_day_temp,Z6 Day Temperature,,fe,2020,6276,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,ariston,z7_day_temp,Z7 Day Temperature,,3c,2000,6277,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z7_day_temp,Z7 Day Temperature,,fe,200f,6277,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,ariston,z7_day_temp,Z7 Day Temperature,,fe,2020,6277,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r,ariston,z8_day_temp,Z8 Day Temperature,,3c,2000,6278,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z8_day_temp,Z8 Day Temperature,,fe,200f,6278,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,ariston,z8_day_temp,Z8 Day Temperature,,fe,2020,6278,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r2,ariston,z1_night_temp,Z1 Night Temperature,,3c,2000,6371,,,IGN:1,,,,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
u,ariston,z1_night_temp,Z1 Night Temperature,,fe,200f,6371,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w,ariston,z1_night_temp,Z1 Night Temperature,,fe,2020,6371,,,SIN,10,°C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
